The tokenizer you are loading from 'ckpts/exp-02/final' with an incorrect regex pattern: https://huggingface.co/mistralai/Mistral-Small-3.1-24B-Instruct-2503/discussions/84#69121093e8b480e709447d5e. This will lead to incorrect tokenization. You should set the `fix_mistral_regex=True` flag when loading this tokenizer to fix this issue.
[data] data/sft_v3.jsonl: kept 112996, dropped 4 over 3328 tok (0.00%); p50=376 p99=2615 max=3313; total=63.8M tokens
Flash Attention 2 only supports torch.float16 and torch.bfloat16 dtypes, but the current dype in Gemma3ForConditionalGeneration is torch.float32. You should run training or inference using Automatic Mixed-Precision via the `with torch.autocast(device_type='torch_device'):` decorator, or load the model with the `dtype` argument. Example: `model = AutoModel.from_pretrained("openai/whisper-tiny", attn_implementation="flash_attention_2", dtype=torch.float16)`
Flash Attention 2 only supports torch.float16 and torch.bfloat16 dtypes, but the current dype in Gemma3Model is torch.float32. You should run training or inference using Automatic Mixed-Precision via the `with torch.autocast(device_type='torch_device'):` decorator, or load the model with the `dtype` argument. Example: `model = AutoModel.from_pretrained("openai/whisper-tiny", attn_implementation="flash_attention_2", dtype=torch.float16)`
Flash Attention 2 only supports torch.float16 and torch.bfloat16 dtypes, but the current dype in SiglipVisionModel is torch.float32. You should run training or inference using Automatic Mixed-Precision via the `with torch.autocast(device_type='torch_device'):` decorator, or load the model with the `dtype` argument. Example: `model = AutoModel.from_pretrained("openai/whisper-tiny", attn_implementation="flash_attention_2", dtype=torch.float16)`
Flash Attention 2 only supports torch.float16 and torch.bfloat16 dtypes, but the current dype in Gemma3TextModel is torch.float32. You should run training or inference using Automatic Mixed-Precision via the `with torch.autocast(device_type='torch_device'):` decorator, or load the model with the `dtype` argument. Example: `model = AutoModel.from_pretrained("openai/whisper-tiny", attn_implementation="flash_attention_2", dtype=torch.float16)`
Loading checkpoint shards:   0%|          | 0/2 [00:00<?, ?it/s]Loading checkpoint shards:  50%|█████     | 1/2 [00:00<00:00,  1.04it/s]Loading checkpoint shards: 100%|██████████| 2/2 [00:03<00:00,  1.96s/it]Loading checkpoint shards: 100%|██████████| 2/2 [00:03<00:00,  1.81s/it]
[model] trainable 3.88B, frozen 0.42B
[plan] 8341 micro-batches/epoch, accum=8, 1042 optimiser steps
[160/1042] loss=0.2784 gn=1.13 lr=6.75e-06 tok/s=9468 elapsed=17.2m eta=95.0m mem=63.8G
[170/1042] loss=0.2789 gn=1.00 lr=6.71e-06 tok/s=9468 elapsed=18.3m eta=93.9m mem=63.8G
[180/1042] loss=0.2822 gn=1.26 lr=6.67e-06 tok/s=9466 elapsed=19.4m eta=92.8m mem=63.8G
[190/1042] loss=0.2875 gn=0.98 lr=6.62e-06 tok/s=9467 elapsed=20.5m eta=91.8m mem=63.8G
[200/1042] loss=0.2811 gn=1.10 lr=6.57e-06 tok/s=9464 elapsed=21.6m eta=90.8m mem=63.8G
[210/1042] loss=0.2778 gn=1.11 lr=6.52e-06 tok/s=9462 elapsed=22.7m eta=89.8m mem=63.8G
[220/1042] loss=0.2776 gn=1.12 lr=6.47e-06 tok/s=9467 elapsed=23.7m eta=88.7m mem=63.8G
[230/1042] loss=0.2812 gn=1.18 lr=6.41e-06 tok/s=9467 elapsed=24.8m eta=87.6m mem=63.8G
[240/1042] loss=0.2764 gn=1.47 lr=6.35e-06 tok/s=9467 elapsed=25.9m eta=86.5m mem=63.8G
[250/1042] loss=0.2798 gn=1.10 lr=6.29e-06 tok/s=9467 elapsed=27.0m eta=85.5m mem=63.8G
[260/1042] loss=0.2732 gn=1.10 lr=6.23e-06 tok/s=9467 elapsed=28.1m eta=84.4m mem=63.8G
[270/1042] loss=0.2757 gn=1.13 lr=6.16e-06 tok/s=9467 elapsed=29.1m eta=83.3m mem=63.8G
[280/1042] loss=0.2718 gn=1.17 lr=6.10e-06 tok/s=9468 elapsed=30.2m eta=82.2m mem=63.8G
[290/1042] loss=0.2708 gn=1.08 lr=6.03e-06 tok/s=9469 elapsed=31.3m eta=81.1m mem=63.8G
[300/1042] loss=0.2691 gn=1.29 lr=5.95e-06 tok/s=9469 elapsed=32.4m eta=80.0m mem=63.8G
[310/1042] loss=0.2710 gn=1.03 lr=5.88e-06 tok/s=9469 elapsed=33.4m eta=78.9m mem=63.8G
[320/1042] loss=0.2608 gn=1.15 lr=5.80e-06 tok/s=9473 elapsed=34.5m eta=77.8m mem=63.8G
[330/1042] loss=0.2781 gn=1.12 lr=5.72e-06 tok/s=9472 elapsed=35.6m eta=76.8m mem=63.8G
[340/1042] loss=0.2726 gn=1.07 lr=5.64e-06 tok/s=9472 elapsed=36.7m eta=75.7m mem=64.8G
[350/1042] loss=0.2801 gn=1.31 lr=5.56e-06 tok/s=9471 elapsed=37.7m eta=74.6m mem=64.8G
[360/1042] loss=0.2633 gn=1.22 lr=5.48e-06 tok/s=9471 elapsed=38.8m eta=73.5m mem=64.8G
[370/1042] loss=0.2593 gn=1.16 lr=5.39e-06 tok/s=9471 elapsed=39.9m eta=72.5m mem=64.8G
[380/1042] loss=0.2683 gn=1.14 lr=5.30e-06 tok/s=9471 elapsed=41.0m eta=71.4m mem=64.8G
[390/1042] loss=0.2639 gn=1.04 lr=5.21e-06 tok/s=9470 elapsed=42.0m eta=70.3m mem=64.8G
[400/1042] loss=0.2648 gn=0.95 lr=5.12e-06 tok/s=9473 elapsed=43.1m eta=69.2m mem=64.8G
[410/1042] loss=0.2653 gn=1.08 lr=5.03e-06 tok/s=9473 elapsed=44.2m eta=68.1m mem=64.8G
[420/1042] loss=0.2682 gn=1.03 lr=4.93e-06 tok/s=9472 elapsed=45.3m eta=67.1m mem=64.8G
[430/1042] loss=0.2667 gn=0.93 lr=4.84e-06 tok/s=9471 elapsed=46.4m eta=66.0m mem=64.8G
[440/1042] loss=0.2706 gn=1.05 lr=4.74e-06 tok/s=9472 elapsed=47.5m eta=64.9m mem=64.8G
[450/1042] loss=0.2597 gn=1.18 lr=4.65e-06 tok/s=9473 elapsed=48.5m eta=63.8m mem=64.8G
[460/1042] loss=0.2607 gn=1.04 lr=4.55e-06 tok/s=9473 elapsed=49.6m eta=62.8m mem=64.8G
[470/1042] loss=0.2621 gn=0.96 lr=4.45e-06 tok/s=9473 elapsed=50.7m eta=61.7m mem=64.8G
[480/1042] loss=0.2587 gn=0.99 lr=4.35e-06 tok/s=9473 elapsed=51.8m eta=60.6m mem=64.8G
[490/1042] loss=0.2523 gn=1.48 lr=4.25e-06 tok/s=9473 elapsed=52.8m eta=59.5m mem=64.8G
[500/1042] loss=0.2552 gn=1.08 lr=4.15e-06 tok/s=9473 elapsed=53.9m eta=58.4m mem=64.8G
[510/1042] loss=0.2630 gn=1.14 lr=4.05e-06 tok/s=9476 elapsed=55.0m eta=57.3m mem=64.8G
[520/1042] loss=0.2622 gn=1.01 lr=3.94e-06 tok/s=9476 elapsed=56.0m eta=56.3m mem=64.8G
`torch_dtype` is deprecated! Use `dtype` instead!
[save] ckpts/exp-03/step521
[530/1042] loss=0.2583 gn=1.13 lr=3.84e-06 tok/s=9448 elapsed=57.3m eta=55.3m mem=64.8G
[540/1042] loss=0.2602 gn=1.11 lr=3.74e-06 tok/s=9448 elapsed=58.4m eta=54.3m mem=64.8G
[550/1042] loss=0.2524 gn=1.78 lr=3.64e-06 tok/s=9448 elapsed=59.4m eta=53.2m mem=64.8G
[560/1042] loss=0.2643 gn=1.10 lr=3.53e-06 tok/s=9448 elapsed=60.5m eta=52.1m mem=64.8G
[570/1042] loss=0.2554 gn=1.39 lr=3.43e-06 tok/s=9448 elapsed=61.6m eta=51.0m mem=64.8G
[580/1042] loss=0.2615 gn=1.16 lr=3.33e-06 tok/s=9449 elapsed=62.7m eta=49.9m mem=64.8G
[590/1042] loss=0.2632 gn=1.06 lr=3.22e-06 tok/s=9448 elapsed=63.8m eta=48.8m mem=64.8G
[600/1042] loss=0.2434 gn=1.02 lr=3.12e-06 tok/s=9449 elapsed=64.8m eta=47.8m mem=64.8G
[610/1042] loss=0.2653 gn=0.93 lr=3.02e-06 tok/s=9448 elapsed=65.9m eta=46.7m mem=64.8G
[620/1042] loss=0.2573 gn=1.01 lr=2.91e-06 tok/s=9450 elapsed=67.0m eta=45.6m mem=64.8G
[630/1042] loss=0.2656 gn=1.17 lr=2.81e-06 tok/s=9450 elapsed=68.0m eta=44.5m mem=64.8G
[640/1042] loss=0.2609 gn=1.17 lr=2.71e-06 tok/s=9449 elapsed=69.1m eta=43.4m mem=64.8G
[650/1042] loss=0.2601 gn=1.01 lr=2.61e-06 tok/s=9450 elapsed=70.2m eta=42.3m mem=64.8G
[660/1042] loss=0.2543 gn=1.21 lr=2.51e-06 tok/s=9449 elapsed=71.3m eta=41.2m mem=64.8G
[670/1042] loss=0.2539 gn=1.20 lr=2.41e-06 tok/s=9449 elapsed=72.3m eta=40.2m mem=64.8G
[680/1042] loss=0.2613 gn=1.32 lr=2.32e-06 tok/s=9450 elapsed=73.4m eta=39.1m mem=64.8G
[690/1042] loss=0.2485 gn=1.12 lr=2.22e-06 tok/s=9450 elapsed=74.5m eta=38.0m mem=64.8G
[700/1042] loss=0.2565 gn=0.96 lr=2.12e-06 tok/s=9450 elapsed=75.6m eta=36.9m mem=64.8G
[710/1042] loss=0.2527 gn=1.15 lr=2.03e-06 tok/s=9450 elapsed=76.7m eta=35.9m mem=64.8G
[720/1042] loss=0.2472 gn=1.17 lr=1.94e-06 tok/s=9450 elapsed=77.7m eta=34.8m mem=64.8G
[730/1042] loss=0.2607 gn=1.13 lr=1.84e-06 tok/s=9451 elapsed=78.8m eta=33.7m mem=64.8G
[740/1042] loss=0.2511 gn=0.95 lr=1.75e-06 tok/s=9451 elapsed=79.9m eta=32.6m mem=64.8G
[750/1042] loss=0.2550 gn=0.94 lr=1.67e-06 tok/s=9451 elapsed=81.0m eta=31.5m mem=64.8G
[760/1042] loss=0.2475 gn=1.16 lr=1.58e-06 tok/s=9451 elapsed=82.1m eta=30.4m mem=64.8G
[770/1042] loss=0.2444 gn=1.02 lr=1.49e-06 tok/s=9451 elapsed=83.1m eta=29.4m mem=64.8G
[780/1042] loss=0.2466 gn=0.90 lr=1.41e-06 tok/s=9451 elapsed=84.2m eta=28.3m mem=64.8G
[790/1042] loss=0.2411 gn=0.95 lr=1.33e-06 tok/s=9451 elapsed=85.3m eta=27.2m mem=64.8G
[800/1042] loss=0.2539 gn=1.00 lr=1.25e-06 tok/s=9451 elapsed=86.4m eta=26.1m mem=64.8G
[810/1042] loss=0.2541 gn=0.92 lr=1.17e-06 tok/s=9452 elapsed=87.4m eta=25.0m mem=64.8G
[820/1042] loss=0.2476 gn=1.11 lr=1.09e-06 tok/s=9452 elapsed=88.5m eta=24.0m mem=64.8G
[830/1042] loss=0.2457 gn=1.11 lr=1.02e-06 tok/s=9453 elapsed=89.6m eta=22.9m mem=64.8G
[840/1042] loss=0.2430 gn=0.96 lr=9.47e-07 tok/s=9452 elapsed=90.7m eta=21.8m mem=64.8G
[850/1042] loss=0.2462 gn=1.05 lr=8.78e-07 tok/s=9453 elapsed=91.7m eta=20.7m mem=64.8G
[860/1042] loss=0.2397 gn=1.11 lr=8.10e-07 tok/s=9452 elapsed=92.8m eta=19.6m mem=64.8G
[870/1042] loss=0.2435 gn=1.07 lr=7.45e-07 tok/s=9452 elapsed=93.9m eta=18.6m mem=64.8G
[880/1042] loss=0.2466 gn=1.25 lr=6.83e-07 tok/s=9452 elapsed=95.0m eta=17.5m mem=64.8G
[890/1042] loss=0.2527 gn=0.91 lr=6.23e-07 tok/s=9452 elapsed=96.1m eta=16.4m mem=64.8G
[900/1042] loss=0.2496 gn=1.43 lr=5.65e-07 tok/s=9452 elapsed=97.1m eta=15.3m mem=64.8G
[910/1042] loss=0.2408 gn=1.14 lr=5.10e-07 tok/s=9452 elapsed=98.2m eta=14.2m mem=64.8G
[920/1042] loss=0.2437 gn=1.10 lr=4.58e-07 tok/s=9452 elapsed=99.3m eta=13.2m mem=64.8G
[930/1042] loss=0.2525 gn=1.03 lr=4.08e-07 tok/s=9453 elapsed=100.4m eta=12.1m mem=64.8G
[940/1042] loss=0.2424 gn=1.00 lr=3.61e-07 tok/s=9453 elapsed=101.5m eta=11.0m mem=64.8G
[950/1042] loss=0.2442 gn=0.96 lr=3.17e-07 tok/s=9452 elapsed=102.5m eta=9.9m mem=64.8G
[960/1042] loss=0.2442 gn=0.95 lr=2.75e-07 tok/s=9452 elapsed=103.6m eta=8.9m mem=64.8G
[970/1042] loss=0.2466 gn=0.99 lr=2.36e-07 tok/s=9453 elapsed=104.7m eta=7.8m mem=64.8G
[980/1042] loss=0.2432 gn=1.06 lr=2.00e-07 tok/s=9453 elapsed=105.8m eta=6.7m mem=64.8G
[990/1042] loss=0.2486 gn=1.48 lr=1.67e-07 tok/s=9453 elapsed=106.9m eta=5.6m mem=64.8G
[1000/1042] loss=0.2426 gn=0.97 lr=1.37e-07 tok/s=9455 elapsed=107.9m eta=4.5m mem=64.8G
[1010/1042] loss=0.2480 gn=1.08 lr=1.10e-07 tok/s=9455 elapsed=109.0m eta=3.5m mem=64.8G
[1020/1042] loss=0.2295 gn=0.94 lr=8.59e-08 tok/s=9455 elapsed=110.1m eta=2.4m mem=64.8G
[1030/1042] loss=0.2398 gn=0.78 lr=6.47e-08 tok/s=9455 elapsed=111.2m eta=1.3m mem=64.8G
[1040/1042] loss=0.2521 gn=0.97 lr=4.64e-08 tok/s=9455 elapsed=112.2m eta=0.2m mem=64.8G
[save] ckpts/exp-03/final
[done] 1.88 h
