chat template sha256: 7de1c58e208eda46e9c7f86397df37ec49883aeece39fb961e0a6b24088dd3c4
data/sft_v2_eot.jsonl: kept 50758/52273  dropped(too long) 1515 (2.898%)  p50=330 p99=2339 max=3127
liger fused-linear-CE patched into gemma3

Loading checkpoint shards:   0%|          | 0/2 [00:00<?, ?it/s]
  7%|▋         | 107/1587 [06:02<1:44:55,  4.25s/it]
  7%|▋         | 108/1587 [06:05<1:37:33,  3.96s/it]
  7%|▋         | 109/1587 [06:08<1:27:41,  3.56s/it]
  7%|▋         | 110/1587 [06:10<1:19:45,  3.24s/it]
                                                    

  7%|▋         | 110/1587 [06:10<1:19:45,  3.24s/it]
  7%|▋         | 111/1587 [06:13<1:13:42,  3.00s/it]
  7%|▋         | 112/1587 [06:15<1:09:01,  2.81s/it]
  7%|▋         | 113/1587 [06:19<1:14:37,  3.04s/it]
  7%|▋         | 114/1587 [06:22<1:18:03,  3.18s/it]
  7%|▋         | 115/1587 [06:26<1:22:53,  3.38s/it]
  7%|▋         | 116/1587 [06:29<1:23:07,  3.39s/it]
  7%|▋         | 117/1587 [06:33<1:22:54,  3.38s/it]
  7%|▋         | 118/1587 [06:36<1:22:37,  3.37s/it]
  7%|▋         | 119/1587 [06:39<1:21:56,  3.35s/it]
  8%|▊         | 120/1587 [06:43<1:21:10,  3.32s/it]
                                                    

  8%|▊         | 120/1587 [06:43<1:21:10,  3.32s/it]
  8%|▊         | 121/1587 [06:46<1:20:23,  3.29s/it]
  8%|▊         | 122/1587 [06:49<1:22:22,  3.37s/it]
  8%|▊         | 123/1587 [06:53<1:20:43,  3.31s/it]
  8%|▊         | 124/1587 [06:56<1:19:12,  3.25s/it]
  8%|▊         | 125/1587 [06:59<1:17:58,  3.20s/it]
  8%|▊         | 126/1587 [07:02<1:16:54,  3.16s/it]
  8%|▊         | 127/1587 [07:05<1:15:55,  3.12s/it]
  8%|▊         | 128/1587 [07:08<1:14:56,  3.08s/it]
  8%|▊         | 129/1587 [07:11<1:16:50,  3.16s/it]
  8%|▊         | 130/1587 [07:14<1:15:10,  3.10s/it]
                                                    

  8%|▊         | 130/1587 [07:14<1:15:10,  3.10s/it]
  8%|▊         | 131/1587 [07:17<1:13:51,  3.04s/it]
  8%|▊         | 132/1587 [07:20<1:12:42,  3.00s/it]
  8%|▊         | 133/1587 [07:23<1:11:38,  2.96s/it]
  8%|▊         | 134/1587 [07:26<1:10:52,  2.93s/it]
  9%|▊         | 135/1587 [07:29<1:09:56,  2.89s/it]
  9%|▊         | 136/1587 [07:32<1:12:21,  2.99s/it]
  9%|▊         | 137/1587 [07:35<1:10:39,  2.92s/it]
  9%|▊         | 138/1587 [07:37<1:09:14,  2.87s/it]
  9%|▉         | 139/1587 [07:40<1:08:10,  2.82s/it]
  9%|▉         | 140/1587 [07:43<1:07:04,  2.78s/it]
                                                    

  9%|▉         | 140/1587 [07:43<1:07:04,  2.78s/it]
  9%|▉         | 141/1587 [07:45<1:06:07,  2.74s/it]
  9%|▉         | 142/1587 [07:48<1:05:12,  2.71s/it]
  9%|▉         | 143/1587 [07:51<1:07:08,  2.79s/it]
  9%|▉         | 144/1587 [07:53<1:05:30,  2.72s/it]
  9%|▉         | 145/1587 [07:56<1:04:14,  2.67s/it]
  9%|▉         | 146/1587 [07:59<1:03:12,  2.63s/it]
  9%|▉         | 147/1587 [08:01<1:01:58,  2.58s/it]
  9%|▉         | 148/1587 [08:03<1:00:45,  2.53s/it]
  9%|▉         | 149/1587 [08:06<1:01:42,  2.57s/it]
  9%|▉         | 150/1587 [08:10<1:10:00,  2.92s/it]
                                                    

  9%|▉         | 150/1587 [08:10<1:10:00,  2.92s/it]
 10%|▉         | 151/1587 [08:17<1:40:05,  4.18s/it]
 10%|▉         | 152/1587 [08:23<1:54:01,  4.77s/it]
 10%|▉         | 153/1587 [08:30<2:05:48,  5.26s/it]
 10%|▉         | 154/1587 [08:35<2:06:21,  5.29s/it]
 10%|▉         | 155/1587 [08:39<1:58:35,  4.97s/it]
 10%|▉         | 156/1587 [08:43<1:52:17,  4.71s/it]
 10%|▉         | 157/1587 [08:47<1:43:31,  4.34s/it]
 10%|▉         | 158/1587 [08:50<1:33:41,  3.93s/it]
 10%|█         | 159/1587 [08:52<1:24:30,  3.55s/it]
 10%|█         | 160/1587 [08:55<1:17:06,  3.24s/it]
                                                    

 10%|█         | 160/1587 [08:55<1:17:06,  3.24s/it]
 10%|█         | 161/1587 [08:57<1:11:22,  3.00s/it]
 10%|█         | 162/1587 [09:00<1:06:57,  2.82s/it]
 10%|█         | 163/1587 [09:03<1:12:56,  3.07s/it]
 10%|█         | 164/1587 [09:07<1:16:07,  3.21s/it]
 10%|█         | 165/1587 [09:10<1:17:52,  3.29s/it]
 10%|█         | 166/1587 [09:14<1:18:40,  3.32s/it]
 11%|█         | 167/1587 [09:17<1:18:53,  3.33s/it]
 11%|█         | 168/1587 [09:20<1:18:45,  3.33s/it]
 11%|█         | 169/1587 [09:24<1:18:12,  3.31s/it]
 11%|█         | 170/1587 [09:27<1:20:27,  3.41s/it]
                                                    

 11%|█         | 170/1587 [09:27<1:20:27,  3.41s/it]
 11%|█         | 171/1587 [09:31<1:18:49,  3.34s/it]
 11%|█         | 172/1587 [09:34<1:17:32,  3.29s/it]
 11%|█         | 173/1587 [09:37<1:16:26,  3.24s/it]
 11%|█         | 174/1587 [09:40<1:15:23,  3.20s/it]
 11%|█         | 175/1587 [09:43<1:14:21,  3.16s/it]
 11%|█         | 176/1587 [09:46<1:13:31,  3.13s/it]
 11%|█         | 177/1587 [09:49<1:15:19,  3.21s/it]
 11%|█         | 178/1587 [09:52<1:13:40,  3.14s/it]
 11%|█▏        | 179/1587 [09:55<1:12:18,  3.08s/it]
 11%|█▏        | 180/1587 [09:58<1:11:11,  3.04s/it]
                                                    

 11%|█▏        | 180/1587 [09:58<1:11:11,  3.04s/it]
 11%|█▏        | 181/1587 [10:01<1:10:16,  3.00s/it]
 11%|█▏        | 182/1587 [10:04<1:09:18,  2.96s/it]
 12%|█▏        | 183/1587 [10:07<1:08:34,  2.93s/it]
 12%|█▏        | 184/1587 [10:10<1:10:26,  3.01s/it]
 12%|█▏        | 185/1587 [10:13<1:08:59,  2.95s/it]
 12%|█▏        | 186/1587 [10:16<1:07:47,  2.90s/it]
 12%|█▏        | 187/1587 [10:19<1:06:52,  2.87s/it]
 12%|█▏        | 188/1587 [10:21<1:05:56,  2.83s/it]
 12%|█▏        | 189/1587 [10:24<1:05:01,  2.79s/it]
 12%|█▏        | 190/1587 [10:27<1:06:56,  2.87s/it]
                                                    

 12%|█▏        | 190/1587 [10:27<1:06:56,  2.87s/it]
 12%|█▏        | 191/1587 [10:30<1:05:16,  2.81s/it]
 12%|█▏        | 192/1587 [10:32<1:03:54,  2.75s/it]
 12%|█▏        | 193/1587 [10:35<1:02:47,  2.70s/it]
 12%|█▏        | 194/1587 [10:37<1:01:43,  2.66s/it]
 12%|█▏        | 195/1587 [10:40<1:00:45,  2.62s/it]
 12%|█▏        | 196/1587 [10:42<59:52,  2.58s/it]  
 12%|█▏        | 197/1587 [10:45<1:01:35,  2.66s/it]
 12%|█▏        | 198/1587 [10:48<59:46,  2.58s/it]  
 13%|█▎        | 199/1587 [10:51<1:02:24,  2.70s/it]
 13%|█▎        | 200/1587 [10:54<1:07:11,  2.91s/it]
                                                    

 13%|█▎        | 200/1587 [10:54<1:07:11,  2.91s/it]
 13%|█▎        | 201/1587 [11:01<1:34:11,  4.08s/it]
 13%|█▎        | 202/1587 [11:07<1:47:08,  4.64s/it]
 13%|█▎        | 203/1587 [11:12<1:50:27,  4.79s/it]
 13%|█▎        | 204/1587 [11:16<1:47:23,  4.66s/it]
 13%|█▎        | 205/1587 [11:20<1:40:54,  4.38s/it]
 13%|█▎        | 206/1587 [11:24<1:35:25,  4.15s/it]
 13%|█▎        | 207/1587 [11:27<1:27:29,  3.80s/it]
 13%|█▎        | 208/1587 [11:29<1:20:14,  3.49s/it]
 13%|█▎        | 209/1587 [11:32<1:14:18,  3.24s/it]
 13%|█▎        | 210/1587 [11:35<1:09:26,  3.03s/it]
                                                    

 13%|█▎        | 210/1587 [11:35<1:09:26,  3.03s/it]
 13%|█▎        | 211/1587 [11:37<1:08:10,  2.97s/it]
 13%|█▎        | 212/1587 [11:40<1:04:15,  2.80s/it]
 13%|█▎        | 213/1587 [11:43<1:03:28,  2.77s/it]
 13%|█▎        | 214/1587 [11:46<1:08:57,  3.01s/it]
 14%|█▎        | 215/1587 [11:50<1:12:21,  3.16s/it]
 14%|█▎        | 216/1587 [11:53<1:14:23,  3.26s/it]
 14%|█▎        | 217/1587 [11:57<1:15:26,  3.30s/it]
 14%|█▎        | 218/1587 [12:00<1:18:24,  3.44s/it]
 14%|█▍        | 219/1587 [12:04<1:17:50,  3.41s/it]
 14%|█▍        | 220/1587 [12:07<1:16:56,  3.38s/it]
                                                    

 14%|█▍        | 220/1587 [12:07<1:16:56,  3.38s/it]
 14%|█▍        | 221/1587 [12:10<1:16:12,  3.35s/it]
 14%|█▍        | 222/1587 [12:13<1:15:21,  3.31s/it]
 14%|█▍        | 223/1587 [12:17<1:14:34,  3.28s/it]
 14%|█▍        | 224/1587 [12:20<1:16:25,  3.36s/it]
 14%|█▍        | 225/1587 [12:23<1:14:46,  3.29s/it]
 14%|█▍        | 226/1587 [12:26<1:13:22,  3.23s/it]
 14%|█▍        | 227/1587 [12:30<1:12:13,  3.19s/it]
 14%|█▍        | 228/1587 [12:33<1:11:08,  3.14s/it]
 14%|█▍        | 229/1587 [12:36<1:10:11,  3.10s/it]
 14%|█▍        | 230/1587 [12:39<1:09:22,  3.07s/it]
                                                    

 14%|█▍        | 230/1587 [12:39<1:09:22,  3.07s/it]
 15%|█▍        | 231/1587 [12:42<1:11:07,  3.15s/it]
 15%|█▍        | 232/1587 [12:45<1:09:37,  3.08s/it]
 15%|█▍        | 233/1587 [12:48<1:08:19,  3.03s/it]
 15%|█▍        | 234/1587 [12:51<1:07:10,  2.98s/it]
 15%|█▍        | 235/1587 [12:53<1:06:09,  2.94s/it]
 15%|█▍        | 236/1587 [12:56<1:05:17,  2.90s/it]
 15%|█▍        | 237/1587 [12:59<1:04:36,  2.87s/it]
 15%|█▍        | 238/1587 [13:02<1:06:44,  2.97s/it]
 15%|█▌        | 239/1587 [13:05<1:05:21,  2.91s/it]
 15%|█▌        | 240/1587 [13:08<1:04:12,  2.86s/it]
                                                    

 15%|█▌        | 240/1587 [13:08<1:04:12,  2.86s/it]
 15%|█▌        | 241/1587 [13:10<1:03:19,  2.82s/it]
 15%|█▌        | 242/1587 [13:13<1:02:21,  2.78s/it]
 15%|█▌        | 243/1587 [13:16<1:01:33,  2.75s/it]
 15%|█▌        | 244/1587 [13:18<1:00:43,  2.71s/it]
 15%|█▌        | 245/1587 [13:21<1:02:21,  2.79s/it]
 16%|█▌        | 246/1587 [13:24<1:00:37,  2.71s/it]
 16%|█▌        | 247/1587 [13:26<58:50,  2.63s/it]  
 16%|█▌        | 248/1587 [13:29<57:18,  2.57s/it]
 16%|█▌        | 249/1587 [13:31<55:52,  2.51s/it]
 16%|█▌        | 250/1587 [13:35<1:01:43,  2.77s/it]
                                                    

 16%|█▌        | 250/1587 [13:35<1:01:43,  2.77s/it]
 16%|█▌        | 251/1587 [13:41<1:29:16,  4.01s/it]
 16%|█▌        | 252/1587 [13:48<1:47:02,  4.81s/it]
 16%|█▌        | 253/1587 [13:54<1:56:23,  5.24s/it]
 16%|█▌        | 254/1587 [14:00<1:55:37,  5.20s/it]
 16%|█▌        | 255/1587 [14:04<1:48:58,  4.91s/it]
 16%|█▌        | 256/1587 [14:07<1:40:27,  4.53s/it]
 16%|█▌        | 257/1587 [14:11<1:34:05,  4.24s/it]
 16%|█▋        | 258/1587 [14:14<1:26:37,  3.91s/it]
 16%|█▋        | 259/1587 [14:17<1:22:20,  3.72s/it]
 16%|█▋        | 260/1587 [14:20<1:15:08,  3.40s/it]
                                                    

 16%|█▋        | 260/1587 [14:20<1:15:08,  3.40s/it]
 16%|█▋        | 261/1587 [14:23<1:09:18,  3.14s/it]
 17%|█▋        | 262/1587 [14:25<1:04:47,  2.93s/it]
 17%|█▋        | 263/1587 [14:27<1:01:16,  2.78s/it]
 17%|█▋        | 264/1587 [14:30<1:02:32,  2.84s/it]
 17%|█▋        | 265/1587 [14:34<1:09:35,  3.16s/it]
 17%|█▋        | 266/1587 [14:38<1:11:39,  3.25s/it]
 17%|█▋        | 267/1587 [14:41<1:12:37,  3.30s/it]
 17%|█▋        | 268/1587 [14:45<1:12:56,  3.32s/it]
 17%|█▋        | 269/1587 [14:48<1:12:56,  3.32s/it]
 17%|█▋        | 270/1587 [14:51<1:12:42,  3.31s/it]
                                                    

 17%|█▋        | 270/1587 [14:51<1:12:42,  3.31s/it]
 17%|█▋        | 271/1587 [14:54<1:12:14,  3.29s/it]
 17%|█▋        | 272/1587 [14:58<1:14:13,  3.39s/it]
 17%|█▋        | 273/1587 [15:01<1:12:50,  3.33s/it]
 17%|█▋        | 274/1587 [15:04<1:11:38,  3.27s/it]
 17%|█▋        | 275/1587 [15:07<1:10:39,  3.23s/it]
 17%|█▋        | 276/1587 [15:11<1:09:44,  3.19s/it]
 17%|█▋        | 277/1587 [15:14<1:08:52,  3.15s/it]
 18%|█▊        | 278/1587 [15:17<1:08:08,  3.12s/it]
 18%|█▊        | 279/1587 [15:20<1:10:14,  3.22s/it]
 18%|█▊        | 280/1587 [15:23<1:08:33,  3.15s/it]
                                                    

 18%|█▊        | 280/1587 [15:23<1:08:33,  3.15s/it]
 18%|█▊        | 281/1587 [15:26<1:07:19,  3.09s/it]
 18%|█▊        | 282/1587 [15:29<1:06:10,  3.04s/it]
 18%|█▊        | 283/1587 [15:32<1:05:08,  3.00s/it]
 18%|█▊        | 284/1587 [15:35<1:04:17,  2.96s/it]
 18%|█▊        | 285/1587 [15:38<1:05:54,  3.04s/it]
 18%|█▊        | 286/1587 [15:41<1:04:21,  2.97s/it]
 18%|█▊        | 287/1587 [15:44<1:03:07,  2.91s/it]
 18%|█▊        | 288/1587 [15:46<1:02:02,  2.87s/it]
 18%|█▊        | 289/1587 [15:49<1:01:11,  2.83s/it]
 18%|█▊        | 290/1587 [15:52<1:00:27,  2.80s/it]
                                                    

 18%|█▊        | 290/1587 [15:52<1:00:27,  2.80s/it]
 18%|█▊        | 291/1587 [15:54<59:35,  2.76s/it]  
 18%|█▊        | 292/1587 [15:58<1:01:08,  2.83s/it]
 18%|█▊        | 293/1587 [16:00<59:41,  2.77s/it]  
 19%|█▊        | 294/1587 [16:03<58:31,  2.72s/it]
 19%|█▊        | 295/1587 [16:05<57:29,  2.67s/it]
 19%|█▊        | 296/1587 [16:08<56:22,  2.62s/it]
 19%|█▊        | 297/1587 [16:10<55:20,  2.57s/it]
 19%|█▉        | 298/1587 [16:13<54:14,  2.52s/it]
 19%|█▉        | 299/1587 [16:16<1:01:27,  2.86s/it]
 19%|█▉        | 300/1587 [16:20<1:04:52,  3.02s/it]
                                                    

 19%|█▉        | 300/1587 [16:20<1:04:52,  3.02s/it]
 19%|█▉        | 301/1587 [16:27<1:29:43,  4.19s/it]
 19%|█▉        | 302/1587 [16:33<1:42:56,  4.81s/it]
 19%|█▉        | 303/1587 [16:39<1:48:49,  5.09s/it]
 19%|█▉        | 304/1587 [16:43<1:45:10,  4.92s/it]
 19%|█▉        | 305/1587 [16:47<1:36:21,  4.51s/it]
 19%|█▉        | 306/1587 [16:51<1:35:21,  4.47s/it]
 19%|█▉        | 307/1587 [16:54<1:27:42,  4.11s/it]
 19%|█▉        | 308/1587 [16:57<1:20:09,  3.76s/it]
 19%|█▉        | 309/1587 [17:00<1:13:18,  3.44s/it]
 20%|█▉        | 310/1587 [17:03<1:07:47,  3.19s/it]
                                                    

 20%|█▉        | 310/1587 [17:03<1:07:47,  3.19s/it]
 20%|█▉        | 311/1587 [17:05<1:03:20,  2.98s/it]
 20%|█▉        | 312/1587 [17:07<59:51,  2.82s/it]  
 20%|█▉        | 313/1587 [17:10<59:25,  2.80s/it]
 20%|█▉        | 314/1587 [17:14<1:04:20,  3.03s/it]
 20%|█▉        | 315/1587 [17:17<1:07:26,  3.18s/it]
 20%|█▉        | 316/1587 [17:21<1:09:14,  3.27s/it]
 20%|█▉        | 317/1587 [17:24<1:10:03,  3.31s/it]
 20%|██        | 318/1587 [17:28<1:10:22,  3.33s/it]
 20%|██        | 319/1587 [17:31<1:12:36,  3.44s/it]
 20%|██        | 320/1587 [17:35<1:11:35,  3.39s/it]
                                                    

 20%|██        | 320/1587 [17:35<1:11:35,  3.39s/it]
 20%|██        | 321/1587 [17:38<1:10:34,  3.34s/it]
 20%|██        | 322/1587 [17:41<1:09:42,  3.31s/it]
 20%|██        | 323/1587 [17:44<1:08:48,  3.27s/it]
 20%|██        | 324/1587 [17:47<1:07:56,  3.23s/it]
 20%|██        | 325/1587 [17:50<1:07:05,  3.19s/it]
 21%|██        | 326/1587 [17:54<1:08:44,  3.27s/it]
 21%|██        | 327/1587 [17:57<1:07:10,  3.20s/it]
 21%|██        | 328/1587 [18:00<1:05:54,  3.14s/it]
 21%|██        | 329/1587 [18:03<1:04:47,  3.09s/it]
 21%|██        | 330/1587 [18:06<1:04:08,  3.06s/it]
                                                    

 21%|██        | 330/1587 [18:06<1:04:08,  3.06s/it]
 21%|██        | 331/1587 [18:09<1:03:20,  3.03s/it]
 21%|██        | 332/1587 [18:12<1:02:36,  2.99s/it]
 21%|██        | 333/1587 [18:15<1:04:12,  3.07s/it]
 21%|██        | 334/1587 [18:18<1:02:52,  3.01s/it]
 21%|██        | 335/1587 [18:21<1:01:50,  2.96s/it]
 21%|██        | 336/1587 [18:24<1:00:47,  2.92s/it]
 21%|██        | 337/1587 [18:26<59:51,  2.87s/it]  
 21%|██▏       | 338/1587 [18:29<59:07,  2.84s/it]
 21%|██▏       | 339/1587 [18:32<58:19,  2.80s/it]
 21%|██▏       | 340/1587 [18:35<59:58,  2.89s/it]
                                                  

 21%|██▏       | 340/1587 [18:35<59:58,  2.89s/it]
 21%|██▏       | 341/1587 [18:38<58:34,  2.82s/it]
 22%|██▏       | 342/1587 [18:40<57:18,  2.76s/it]
 22%|██▏       | 343/1587 [18:43<56:19,  2.72s/it]
 22%|██▏       | 344/1587 [18:45<55:23,  2.67s/it]
 22%|██▏       | 345/1587 [18:48<54:32,  2.63s/it]
 22%|██▏       | 346/1587 [18:50<53:41,  2.60s/it]
 22%|██▏       | 347/1587 [18:53<55:13,  2.67s/it]
 22%|██▏       | 348/1587 [18:56<53:31,  2.59s/it]
 22%|██▏       | 349/1587 [18:58<52:01,  2.52s/it]
 22%|██▏       | 350/1587 [19:01<57:47,  2.80s/it]
                                                  

 22%|██▏       | 350/1587 [19:02<57:47,  2.80s/it]
 22%|██▏       | 351/1587 [19:08<1:22:58,  4.03s/it]
 22%|██▏       | 352/1587 [19:14<1:34:52,  4.61s/it]
 22%|██▏       | 353/1587 [19:21<1:45:20,  5.12s/it]
 22%|██▏       | 354/1587 [19:26<1:43:42,  5.05s/it]
 22%|██▏       | 355/1587 [19:30<1:38:05,  4.78s/it]
 22%|██▏       | 356/1587 [19:34<1:32:36,  4.51s/it]
 22%|██▏       | 357/1587 [19:37<1:27:27,  4.27s/it]
 23%|██▎       | 358/1587 [19:40<1:19:59,  3.91s/it]
 23%|██▎       | 359/1587 [19:43<1:13:05,  3.57s/it]
 23%|██▎       | 360/1587 [19:46<1:09:24,  3.39s/it]
